# RX Frame to Height Mapping (from list_of_heights.txt)
# Format: <frame bytes>   <height>
# Height starts at 62.0, increments by 0.1 until 99.9, then by 1.0
 
B4 7A EB BF B7 20   98.9
B4 7A EB BD 9F 20   99.0
B4 7A EB 3D 83 20   99.1
B4 7A EB BD AD 20   99.2
B4 7A EB BD A7 20   99.3
B4 7A EB 3D B3 20   99.4
B4 7A EB BD B6 20   99.5
B4 7A EB BD BE 20   99.6
B4 7A EB BD 83 20   99.7
B4 7A EB BD BF 20   99.8
B4 7A EB BD B7 20   99.9
B4 32 E8 A7 9F 20   100.0
B4 32 E8 27 83 20   101.0
B4 32 E8 A7 AD 20   102.0
B4 32 E8 A7 A7 20   103.0
B4 32 E8 27 B3 20   104.0
B4 32 E8 A7 B6 20   105.0
B4 32 E8 A7 BE 20   106.0
B4 32 E8 A7 83 20   107.0
B4 32 E8 A7 BF 20   108.0
B4 32 E8 A7 B7 20   109.0
B4 32 C8 A0 9F 20   110.0
B4 32 C8 20 83 20   111.0
B4 32 C8 A0 AD 20   112.0
B4 32 C8 A0 A7 20   113.0
B4 32 C8 20 B3 20   114.0
B4 32 C8 A0 B6 20   115.0
B4 32 C8 A0 BE 20   116.0
B4 32 C8 A0 83 20   117.0
B4 32 C8 A0 BF 20   118.0
B4 32 C8 A0 B7 20   119.0
B4 32 68 AB 9F 20   120.0
B4 32 68 2B 83 20   121.0
B4 32 68 AB AD 20   122.0
B4 32 68 AB A7 20   123.0
B4 32 68 2B B3 20   124.0

